,date,close,high,low,open,volume
712,23/05/2019,179.66,180.54,177.81,179.8,36529736
713,24/05/2019,178.97,182.14,178.62,180.2,23714686
714,28/05/2019,178.23,180.59,177.91,178.92,27948160
715,29/05/2019,177.38,179.35,176,176.42,28481165
716,30/05/2019,178.3,179.23,176.67,177.95,21218412
717,31/05/2019,175.07,177.99,174.99,176.23,27043584
718,03/06/2019,173.3,177.92,170.27,175.6,40396069
719,04/06/2019,179.64,179.83,174.52,175.44,30967961
720,05/06/2019,182.54,184.99,181.14,184.28,29773427
721,06/06/2019,185.22,185.47,182.15,183.08,22526311
722,07/06/2019,190.15,191.92,185.77,186.51,30684393
723,10/06/2019,192.58,195.37,191.62,191.81,26220851
724,11/06/2019,194.81,196,193.6,194.86,26932882
725,12/06/2019,194.19,195.97,193.39,193.95,18253189
726,13/06/2019,194.15,196.79,193.6,194.7,21674625
727,14/06/2019,192.74,193.59,190.3,191.55,18761474
728,17/06/2019,193.89,194.96,192.17,192.9,14669144
729,18/06/2019,198.45,200.29,195.21,196.05,26551004
730,19/06/2019,197.87,199.88,197.31,199.68,21124235
731,20/06/2019,199.46,200.61,198.03,200.37,21513988
732,21/06/2019,198.78,200.85,198.15,198.8,47800589
733,24/06/2019,198.58,200.16,198.17,198.54,18220421
734,25/06/2019,195.57,199.26,195.29,198.43,21070334
735,26/06/2019,199.8,200.99,197.35,197.77,26067512
736,27/06/2019,199.74,201.57,199.57,200.29,20899717
737,28/06/2019,197.92,199.5,197.05,198.68,31110642
738,01/07/2019,201.55,204.49,200.65,203.17,27316739
739,02/07/2019,202.73,203.13,201.36,201.41,16935217
740,03/07/2019,204.41,204.44,202.69,203.28,11362045
741,05/07/2019,204.23,205.08,202.9,203.35,17265518
742,08/07/2019,200.02,201.4,198.41,200.81,25338628
743,09/07/2019,201.24,201.51,198.81,199.2,20578015
744,10/07/2019,203.23,203.73,201.56,201.85,17897138
745,11/07/2019,201.75,204.39,201.71,203.31,20191842
746,12/07/2019,203.3,204,202.2,202.45,17595212
747,15/07/2019,205.21,205.87,204,204.09,16947420
748,16/07/2019,204.5,206.11,203.5,204.59,16866816
749,17/07/2019,203.35,205.09,203.27,204.05,14107450
750,18/07/2019,205.66,205.88,203.7,204,18582161
751,19/07/2019,202.59,206.5,202.36,205.79,20929307
752,22/07/2019,207.22,207.23,203.61,203.65,22277932
753,23/07/2019,208.84,208.91,207.29,208.46,18355210
754,24/07/2019,208.67,209.15,207.17,207.67,14991567
755,25/07/2019,207.02,209.24,206.73,208.89,13909535
756,26/07/2019,207.74,209.73,207.14,207.48,17618874
757,29/07/2019,209.68,210.64,208.44,208.46,21673389
758,30/07/2019,208.78,210.16,207.31,208.76,33935718
759,31/07/2019,213.04,221.37,211.3,216.42,69281361
760,01/08/2019,208.43,218.03,206.74,213.9,54017922
761,02/08/2019,204.02,206.43,201.63,205.53,40862122
762,05/08/2019,193.34,198.65,192.58,197.99,52392969
763,06/08/2019,197,198.07,194.04,196.31,35824787
